timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-06 10:18:02,SESSION_START,20260406_101801,,20260406_101801,,,,,,,0.000,0.3,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260406_101801.csv
2026-04-06 10:18:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,21.0,0.00,0.000,30.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 10:19:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,21.0,0.00,0.000,60.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 10:19:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.9,0.10,0.000,90.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 10:20:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.9,0.10,0.000,120.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 10:20:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.9,0.10,0.000,150.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 10:21:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.8,0.20,0.000,180.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-06 10:21:17,NAV_STARTED,20260406_101801,1,2026-04-06 10:21:17,,,,20.8,20.8,,0.000,195.2,,,
2026-04-06 10:21:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.8,0.20,0.000,210.3,,,Rounds completed: 1  |  Active goals: 1  |  Session drain: 0.20%
2026-04-06 10:21:56,NAV_ABORTED,20260406_101801,1,2026-04-06 10:21:17,2026-04-06 10:21:56,39.1,0.000,20.8,20.7,0.10,0.000,234.3,Navigation aborted — planner / controller failure,/home/jetson/amr_logs/snapshots/snap_ABORTED_R001_20260406_102156_BAT21pct_D0.0m.jpg,
2026-04-06 10:22:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.7,0.30,0.000,240.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.30%
2026-04-06 10:22:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.7,0.30,0.000,270.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.30%
2026-04-06 10:23:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.7,0.30,0.000,300.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.30%
2026-04-06 10:23:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.6,0.40,0.000,330.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.40%
2026-04-06 10:24:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.6,0.40,0.000,360.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.40%
2026-04-06 10:24:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.5,0.50,0.000,390.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.50%
2026-04-06 10:25:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.5,0.50,0.000,420.3,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.50%
2026-04-06 10:25:09,NAV_STARTED,20260406_101801,2,2026-04-06 10:25:09,,,,20.5,20.5,,0.000,427.7,,,
2026-04-06 10:25:32,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.4,0.60,0.000,450.3,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.60%
2026-04-06 10:25:50,NAV_ABORTED,20260406_101801,2,2026-04-06 10:25:09,2026-04-06 10:25:50,40.4,0.000,20.5,20.4,0.10,0.000,468.1,Navigation aborted — planner / controller failure,/home/jetson/amr_logs/snapshots/snap_ABORTED_R002_20260406_102550_BAT20pct_D0.0m.jpg,
2026-04-06 10:26:02,STATUS_HEARTBEAT,20260406_101801,,,,,,,20.4,0.60,0.000,480.3,,,Rounds completed: 2  |  Active goals: 0  |  Session drain: 0.60%
2026-04-06 10:26:07,SESSION_END,20260406_101801,,,,,,,20.4,0.60,0.000,485.7,,,Total rounds: 2  |  Total distance: 0.00 m  |  Session battery drain: 0.60%
