timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-06 10:28:11,SESSION_START,20260406_102811,,20260406_102811,,,,,,,0.000,0.2,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260406_102811.csv
2026-04-06 10:28:41,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.2,0.00,0.000,30.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 10:29:11,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.2,0.00,0.000,60.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 10:29:41,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.1,0.10,0.000,90.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 10:30:11,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.1,0.10,0.000,120.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 10:30:41,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.0,0.20,0.000,150.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-06 10:30:52,NAV_STARTED,20260406_102811,1,2026-04-06 10:30:52,,,,20.0,20.0,,0.000,161.2,,,
2026-04-06 10:31:11,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.0,0.20,0.000,180.2,,,Rounds completed: 1  |  Active goals: 1  |  Session drain: 0.20%
2026-04-06 10:31:33,NAV_ABORTED,20260406_102811,1,2026-04-06 10:30:52,2026-04-06 10:31:33,40.7,0.000,20.0,20.0,0.00,0.000,202.0,Navigation aborted — planner / controller failure,/home/jetson/amr_logs/snapshots/snap_ABORTED_R001_20260406_103133_BAT20pct_D0.0m.jpg,
2026-04-06 10:31:41,STATUS_HEARTBEAT,20260406_102811,,,,,,,20.0,0.20,0.000,210.2,,,Rounds completed: 1  |  Active goals: 0  |  Session drain: 0.20%
2026-04-06 10:32:09,NAV_STARTED,20260406_102811,2,2026-04-06 10:32:09,,,,19.9,19.9,,0.000,237.9,,,
2026-04-06 10:32:11,STATUS_HEARTBEAT,20260406_102811,,,,,,,19.9,0.30,0.000,240.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.30%
2026-04-06 10:32:19,NAV_COMPLETED,20260406_102811,2,2026-04-06 10:32:09,2026-04-06 10:32:19,9.9,0.000,19.9,19.9,0.00,0.000,247.9,,,
2026-04-06 10:32:19,NAV_STARTED,20260406_102811,3,2026-04-06 10:32:19,,,,19.9,19.9,,0.000,248.2,,,
