timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-09 09:51:29,SESSION_START,20260409_095129,,20260409_095129,,,,,,,0.000,0.4,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260409_095129.csv
2026-04-09 09:51:59,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.6,0.00,0.000,30.4,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-09 09:52:29,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.5,0.10,0.000,60.4,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-09 09:52:59,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.5,0.10,0.000,90.4,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-09 09:53:09,NAV_STARTED,20260409_095129,1,2026-04-09 09:53:09,,,,58.5,58.5,,0.000,100.3,,,
2026-04-09 09:53:23,NAV_STARTED,20260409_095129,2,2026-04-09 09:53:23,,,,58.5,58.5,,0.000,113.8,,,
2026-04-09 09:53:29,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.5,0.10,0.000,120.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.10%
2026-04-09 09:53:59,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.4,0.20,0.000,150.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.20%
2026-04-09 09:54:29,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.4,0.20,0.000,180.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.20%
2026-04-09 09:54:59,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.4,0.20,0.000,210.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.20%
2026-04-09 09:55:29,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.3,0.30,0.000,240.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.30%
2026-04-09 09:55:59,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.3,0.30,0.000,270.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.30%
2026-04-09 09:56:29,STATUS_HEARTBEAT,20260409_095129,,,,,,,58.2,0.40,0.000,300.4,,,Rounds completed: 2  |  Active goals: 2  |  Session drain: 0.40%
