timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-08 14:43:49,SESSION_START,20260408_144348,,20260408_144348,,,,,,,0.000,0.2,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260408_144348.csv
2026-04-08 14:44:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,77.1,0.00,0.000,30.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-08 14:44:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,77.0,0.10,0.000,60.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 14:45:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,77.0,0.10,0.000,90.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 14:45:38,NAV_STARTED,20260408_144348,1,2026-04-08 14:45:38,,,,77.0,77.0,,0.000,109.9,,,
2026-04-08 14:45:47,NAV_COMPLETED,20260408_144348,1,2026-04-08 14:45:38,2026-04-08 14:45:47,8.6,0.000,77.0,77.0,0.00,0.000,118.6,,,
2026-04-08 14:45:47,NAV_STARTED,20260408_144348,2,2026-04-08 14:45:47,,,,77.0,77.0,,0.000,118.9,,,
2026-04-08 14:45:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,77.0,0.10,0.000,120.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.10%
2026-04-08 14:46:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.9,0.20,0.000,150.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.20%
2026-04-08 14:46:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.8,0.30,0.000,180.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.30%
2026-04-08 14:47:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.8,0.30,0.000,210.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.30%
2026-04-08 14:47:26,NAV_COMPLETED,20260408_144348,2,2026-04-08 14:45:47,2026-04-08 14:47:26,98.7,0.000,77.0,76.7,0.30,0.000,217.6,,,
2026-04-08 14:47:26,NAV_STARTED,20260408_144348,3,2026-04-08 14:47:26,,,,76.7,76.7,,0.000,217.9,,,
2026-04-08 14:47:42,NAV_COMPLETED,20260408_144348,3,2026-04-08 14:47:26,2026-04-08 14:47:42,15.8,0.000,76.7,76.7,0.00,0.000,233.7,,,
2026-04-08 14:47:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.7,0.40,0.000,240.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.40%
2026-04-08 14:48:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.7,0.40,0.000,270.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.40%
2026-04-08 14:48:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.6,0.50,0.000,300.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.50%
2026-04-08 14:49:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.6,0.50,0.000,330.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.50%
2026-04-08 14:49:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.5,0.60,0.000,360.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.60%
2026-04-08 14:50:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.5,0.60,0.000,390.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.60%
2026-04-08 14:50:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.5,0.60,0.000,420.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.60%
2026-04-08 14:51:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.4,0.70,0.000,450.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.70%
2026-04-08 14:51:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.4,0.70,0.000,480.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.70%
2026-04-08 14:52:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.4,0.70,0.000,510.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.70%
2026-04-08 14:52:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.3,0.80,0.000,540.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.80%
2026-04-08 14:53:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.3,0.80,0.000,570.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.80%
2026-04-08 14:53:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.3,0.80,0.000,600.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.80%
2026-04-08 14:54:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.2,0.90,0.000,630.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.90%
2026-04-08 14:54:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.2,0.90,0.000,660.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.90%
2026-04-08 14:55:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.1,1.00,0.000,690.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 1.00%
2026-04-08 14:55:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.1,1.00,0.000,720.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 1.00%
2026-04-08 14:56:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.1,1.00,0.000,750.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 1.00%
2026-04-08 14:56:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.0,1.10,0.000,780.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 1.10%
2026-04-08 14:57:19,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.0,1.10,0.000,810.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 1.10%
2026-04-08 14:57:49,STATUS_HEARTBEAT,20260408_144348,,,,,,,76.0,1.10,0.000,840.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 1.10%
