timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-06 10:08:16,SESSION_START,20260406_100816,,20260406_100816,,,,,,,0.000,0.2,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260406_100816.csv
2026-04-06 10:08:46,STATUS_HEARTBEAT,20260406_100816,,,,,,,21.8,0.00,0.000,30.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 10:09:16,STATUS_HEARTBEAT,20260406_100816,,,,,,,21.7,0.10,0.000,60.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 10:09:30,SESSION_END,20260406_100816,,,,,,,21.7,0.10,0.000,74.0,,,Total rounds: 0  |  Total distance: 0.00 m  |  Session battery drain: 0.10%
