timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-06 11:25:03,SESSION_START,20260406_112503,,20260406_112503,,,,,,,0.000,0.2,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260406_112503.csv
2026-04-06 11:25:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.9,0.00,0.000,30.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 11:26:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.9,0.00,0.000,60.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-06 11:26:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.8,0.10,0.000,90.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 11:27:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.8,0.10,0.000,120.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-06 11:27:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.7,0.20,0.000,150.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-06 11:28:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.7,0.20,0.000,180.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-06 11:28:26,NAV_STARTED,20260406_112503,1,2026-04-06 11:28:26,,,,99.7,99.7,,0.000,203.4,,,
2026-04-06 11:28:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.6,0.30,0.000,210.2,,,Rounds completed: 1  |  Active goals: 1  |  Session drain: 0.30%
2026-04-06 11:28:40,NAV_COMPLETED,20260406_112503,1,2026-04-06 11:28:26,2026-04-06 11:28:40,13.4,0.000,99.7,99.6,0.10,0.000,216.8,,,
2026-04-06 11:28:40,NAV_STARTED,20260406_112503,2,2026-04-06 11:28:40,,,,99.6,99.6,,0.000,217.1,,,
2026-04-06 11:29:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.6,0.30,0.000,240.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.30%
2026-04-06 11:29:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.5,0.40,0.000,270.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.40%
2026-04-06 11:30:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.4,0.50,0.000,300.2,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.50%
2026-04-06 11:30:15,NAV_COMPLETED,20260406_112503,2,2026-04-06 11:28:40,2026-04-06 11:30:15,95.2,0.000,99.6,99.4,0.20,0.000,312.3,,,
2026-04-06 11:30:15,NAV_STARTED,20260406_112503,3,2026-04-06 11:30:15,,,,99.4,99.4,,0.000,312.6,,,
2026-04-06 11:30:31,NAV_COMPLETED,20260406_112503,3,2026-04-06 11:30:15,2026-04-06 11:30:31,15.9,0.000,99.4,99.4,0.00,0.000,328.5,,,
2026-04-06 11:30:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.4,0.50,0.000,330.2,,,Rounds completed: 3  |  Active goals: 0  |  Session drain: 0.50%
2026-04-06 11:30:34,NAV_STARTED,20260406_112503,4,2026-04-06 11:30:34,,,,99.4,99.4,,0.000,331.1,,,
2026-04-06 11:30:53,NAV_COMPLETED,20260406_112503,4,2026-04-06 11:30:34,2026-04-06 11:30:53,19.1,0.000,99.4,99.3,0.10,0.000,350.2,,,
2026-04-06 11:30:53,NAV_STARTED,20260406_112503,5,2026-04-06 11:30:53,,,,99.3,99.3,,0.000,350.6,,,
2026-04-06 11:31:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.3,0.60,0.000,360.2,,,Rounds completed: 5  |  Active goals: 1  |  Session drain: 0.60%
2026-04-06 11:31:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.2,0.70,0.000,390.2,,,Rounds completed: 5  |  Active goals: 1  |  Session drain: 0.70%
2026-04-06 11:32:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.2,0.70,0.000,420.2,,,Rounds completed: 5  |  Active goals: 1  |  Session drain: 0.70%
2026-04-06 11:32:27,NAV_COMPLETED,20260406_112503,5,2026-04-06 11:30:53,2026-04-06 11:32:27,93.2,0.000,99.3,99.1,0.20,0.000,443.8,,,
2026-04-06 11:32:27,NAV_STARTED,20260406_112503,6,2026-04-06 11:32:27,,,,99.1,99.1,,0.000,444.1,,,
2026-04-06 11:32:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.1,0.80,0.000,450.2,,,Rounds completed: 6  |  Active goals: 1  |  Session drain: 0.80%
2026-04-06 11:32:42,NAV_COMPLETED,20260406_112503,6,2026-04-06 11:32:27,2026-04-06 11:32:42,15.5,0.000,99.1,99.1,0.00,0.000,459.6,,,
2026-04-06 11:32:49,NAV_STARTED,20260406_112503,7,2026-04-06 11:32:49,,,,99.1,99.1,,0.000,466.5,,,
2026-04-06 11:33:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.0,0.90,0.000,480.2,,,Rounds completed: 7  |  Active goals: 1  |  Session drain: 0.90%
2026-04-06 11:33:11,NAV_COMPLETED,20260406_112503,7,2026-04-06 11:32:49,2026-04-06 11:33:11,22.1,0.000,99.1,99.0,0.10,0.000,488.6,,,
2026-04-06 11:33:12,NAV_STARTED,20260406_112503,8,2026-04-06 11:33:12,,,,99.0,99.0,,0.000,488.9,,,
2026-04-06 11:33:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,99.0,0.90,0.000,510.2,,,Rounds completed: 8  |  Active goals: 1  |  Session drain: 0.90%
2026-04-06 11:34:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.9,1.00,0.000,540.2,,,Rounds completed: 8  |  Active goals: 1  |  Session drain: 1.00%
2026-04-06 11:34:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.8,1.10,0.000,570.2,,,Rounds completed: 8  |  Active goals: 1  |  Session drain: 1.10%
2026-04-06 11:34:46,NAV_COMPLETED,20260406_112503,8,2026-04-06 11:33:12,2026-04-06 11:34:46,93.8,0.000,99.0,98.8,0.20,0.000,582.7,,,
2026-04-06 11:34:46,NAV_STARTED,20260406_112503,9,2026-04-06 11:34:46,,,,98.8,98.8,,0.000,583.1,,,
2026-04-06 11:34:58,NAV_COMPLETED,20260406_112503,9,2026-04-06 11:34:46,2026-04-06 11:34:58,11.9,0.000,98.8,98.8,0.00,0.000,595.0,,,
2026-04-06 11:35:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.8,1.10,0.000,600.2,,,Rounds completed: 9  |  Active goals: 0  |  Session drain: 1.10%
2026-04-06 11:35:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.7,1.20,0.000,630.2,,,Rounds completed: 9  |  Active goals: 0  |  Session drain: 1.20%
2026-04-06 11:35:53,NAV_STARTED,20260406_112503,10,2026-04-06 11:35:53,,,,98.7,98.7,,0.000,650.6,,,
2026-04-06 11:36:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.7,1.20,0.000,660.2,,,Rounds completed: 10  |  Active goals: 1  |  Session drain: 1.20%
2026-04-06 11:36:09,NAV_COMPLETED,20260406_112503,10,2026-04-06 11:35:53,2026-04-06 11:36:09,16.0,0.000,98.7,98.7,0.00,0.000,666.6,,,
2026-04-06 11:36:10,NAV_STARTED,20260406_112503,11,2026-04-06 11:36:10,,,,98.7,98.7,,0.000,666.9,,,
2026-04-06 11:36:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.6,1.30,0.000,690.2,,,Rounds completed: 11  |  Active goals: 1  |  Session drain: 1.30%
2026-04-06 11:37:03,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.6,1.30,0.000,720.2,,,Rounds completed: 11  |  Active goals: 1  |  Session drain: 1.30%
2026-04-06 11:37:33,STATUS_HEARTBEAT,20260406_112503,,,,,,,98.5,1.40,0.000,750.2,,,Rounds completed: 11  |  Active goals: 1  |  Session drain: 1.40%
